¹,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,3,"5
https://youtu.be/diAPp7le4Ac",1,1,"44
https://youtu.be/jqV2nfyPMG8","64
https://youtu.be/0UrDkEqU_A0","2
https://youtu.be/AaXyU9tfAtY",128,"183
https://youtu.be/z6A0W89YTzU","9
https://youtu.be/35eoim3ylxc",1,7,128,2,"ÃÀÂÁ
https://youtu.be/PUzpcnhtsZI","4,8,9,13,17",4,"10232
https://youtu.be/nUOEKOI_vAw",5967 14062,1139 529,14,23,21 24,"22
https://youtu.be/QADvWvll3Uk",15,14,"1 2 4 41177 82354 164708
1 3 9 18301 54903 164709
1 2 4 41179 82358 164716
1 2 4 41183 82366 164732",862 96,14432 45978688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,1,"26400
https://youtu.be/3F-WDB-pZRc",4,4,"2401
https://youtu.be/D71Z9t46fuY","32
https://youtu.be/zXow6WLDr7Y","1
https://youtu.be/RIj6tVR_u6o",50,"82
https://youtu.be/wy5tBl0AwRs","8
https://youtu.be/pgXWEAsocC8",3,33,200,3,"ÁÃÀÂ
https://youtu.be/RYFtX4Av5RQ",8,2,"17145
https://youtu.be/uYzZuIaAzks",4726 12205,1418 743,15,25,23 26,"38
https://youtu.be/2LMBo_mmQks",32,30,"1 5 25 7727 38635 193175
1 2 4 48299 96598 193196
1 3 9 21467 64401 193203
1 7 49 3943 27601 193207",1551 51,"47 745460178
https://youtu.be/kn8GqbScH50?t=5630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,2,"114
https://youtu.be/6Eb7zvTKyqI",4,1,"10301
https://youtu.be/hPDpJRVVtfk","128
https://youtu.be/31Cmo-8CeQU","4
https://youtu.be/oAegW0PyMiA",2400,"769
https://youtu.be/oz2XJgYOT0w","15
https://youtu.be/P1WrYUU3jXY",3,4,160,3,"ÂÁÃÀ
https://youtu.be/ThVJtCRdt34",13,1,"15287
https://youtu.be/GXKNQj7GXnY",3707 10986,1239 519,16,15,24 27,"22
https://youtu.be/cCufXhTEJTA",15,19," 1 17 289 349 5933 100861
1 2 4 25219 50438 100876
1 2 4 25229 50458 100916
1 3 9 11213 33639 100917",1503 64,"30 360137507
https://youtu.be/kn8GqbScH50?t=11562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,4,"4
https://youtu.be/TYPIa_PqyEE",1,2,"28
https://youtu.be/b1JqTnulHv0","256
https://youtu.be/WptCMyD7zIA","2
https://youtu.be/D3y20DK8CGQ",32,"257
https://youtu.be/pvCBQwy-A-M","7
https://youtu.be/e8IenibxMm8",4,8,100,3,"ÃÁÀÂ
https://youtu.be/3ou3QlK01ZA","2,11, 22",2,"11612
https://youtu.be/SJlsijwIExg",5178 15876,1242 690,17,29,27 30,"25
https://youtu.be/RWRvthEw_IQ",2,28,"1 2 4 44351 88702 177404
1 11 127 1397 16129 177419
1 2 4 44357 88714 177428
1 29 211 841 6119 177451
1 3 9 19717 59151 177453",809 77,"17 150016535
https://youtu.be/kn8GqbScH50?t=7085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,3,"22
https://youtu.be/POk5iEkhlLc",2,4,"31
https://youtu.be/He_dWk7p8Js","128
https://youtu.be/FsB-VsvvSoM","1
https://youtu.be/jYlZErUH1qM",1000,"721
https://youtu.be/EUEXAGXOfbs","5
https://youtu.be/-F2Bo5IhSbo",4,10,250,2,"25.74.125.136
https://youtu.be/Y3K24A7XyxQ","5,30",4,"1343116
https://youtu.be/AW0JP9RCQMc",3590 12567,1225 659,14,13,22 23,"28
https://youtu.be/Xx0--HO6WRM",102,40,"1 19 361 499 9481 180139
1 11 121 1489 16379 180169
1 7 49 3677 25739 180173
1 5 25 7207 36035 180175",1103 80,"8 128567918
https://youtu.be/kn8GqbScH50?t=12440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,4,"16
https://youtu.be/Jenze_oOYtw",2,3,"85
https://youtu.be/ejLfu_Et8t0","64
https://youtu.be/r0Ec5whFxxo","3
https://youtu.be/GyLSY48_3Vg",44,"841
https://youtu.be/DeXHO4Lbv7o","13
https://youtu.be/QJCcAPkGtoU",2,20,300,1,"ÃÁÀÂ
https://youtu.be/EIAPsKPLeCk",72,1,"5158048
https://youtu.be/qRN_w3axZ80",2311 1176,1402 738,14,25,23 24,"44
https://youtu.be/vV2BXfE7CMQ",266,49,"1 3 9 15083 45249 135747
1 2 4 33937 67874 135748
1 2 4 33941 67882 135764
1 5 25 5431 27155 135775",1067 64,19 132286186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,3,"112
https://youtu.be/vGYHDMpkT-w",2,1,"13
https://youtu.be/lZkDC6E4p_U","32
https://youtu.be/HmBz74KibK8","2
https://youtu.be/QMQKgAk3vR0",1875,"ÐÐÐÎÊ
https://youtu.be/qSXWMT4qxGQ","7
https://youtu.be/d7xTX6p9SNI",1,3,21,3,"ÂÃÀÁ
https://youtu.be/HI4nd1iwx3w",7,1,"1112057
https://youtu.be/hvCjElbVJdA",2025 1056,1153 612,15,27,25 26,"32
https://youtu.be/loKbrecZ51c",627,106,"1 2 281 562 78961 157922
1 5 25 6317 31585 157925
1 3 9 17551 52653 157959",1068 77,"6 129920689
https://youtu.be/kn8GqbScH50?t=8614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,2,"205
https://youtu.be/_4n_WddiGYY",3,1,"28
https://youtu.be/g2nWL0lfkJQ","16
https://youtu.be/iucjd1vVxtk","3
https://youtu.be/W_SrXNhHw6A",48,"ÓÓÓÎÓ
https://youtu.be/Kopk0-KNCJI","7
https://youtu.be/E7mWsA5G4EY",3,11,765,3,"ÃÂÁÀ,ÃÀÂÁ
https://youtu.be/nuPcmqC5ieU",5,2,"1594324
https://youtu.be/zIB6c3x085A",1353 980,1309 539,16,29,27 28,"51
https://youtu.be/jfOukkCaXRM",92,72,"1 3 9 15907 47721 143163
1 2 4 35797 71594 143188
1 31 149 961 4619 143189
1 2 4 35801 71602 143204
1 2 4 35803 71606 143212",928 77,"11 17813
https://youtu.be/kn8GqbScH50?t=17063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,2,"16781
https://youtu.be/2upqJqbdXS0",2,4,"37
https://youtu.be/n0S4fsnPgBo","8
https://youtu.be/560Ygdlrvjw","2
https://youtu.be/OuLviInxva4",512,"ÒÒÐÌ
https://youtu.be/pJO5Q2uOUB4","18
https://youtu.be/ha2b9j9tsfg",4,8,200,4,"ÂÃÀÁ
https://youtu.be/qT0-giVok9U",8,4,"1195750
https://youtu.be/-lVzmT_uORU",1644 1308,1318 616,18,17,30 31,"29
https://youtu.be/6a5W35PLnEA",8,136,"1 2 4 29717 59434 118868
1 2 4 29723 59446 118892
1 11 121 983 10813 118943
1 3 9 13217 39651 118953
1 2 4 29741 59482 118964
1 3 9 13219 39657 118971",933 44,663497670 999806976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,3,"316
https://youtu.be/gfo7w5qtJOk",1,2,"24
https://youtu.be/pDmSmU0Rwos","256
https://youtu.be/oOI3aBeyAkc","2
https://youtu.be/zEAzSiFcA6U",40,"ÐÊÐÊÎ
https://youtu.be/Ok-wwmbCfK8","10
https://youtu.be/QGh4xi1AyGw",2,2,192,2,ÂÁÀÃ,4,1,"37282721
https://youtu.be/V5qD-rng7xM",1867 1050,1309 607,19,18,29 33,"32
https://youtu.be/OGDruegEXB8",31,732,"1 17 289 349 5933 100861
1 2 4 25219 50438 100876
1 2 4 25229 50458 100916
1 3 9 11213 33639 100917
1 2 4 25237 50474 100948
1 29 59 1711 3481 100949",748 70,19 235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,4,"54
https://youtu.be/A2RxMKQY1jA",3,4,"20
https://youtu.be/G-txp-GuWP0","8
https://youtu.be/p3R-KNy4l38","4
https://youtu.be/2JD56iDl6sU",1250,"128
https://youtu.be/-owsRhzXH3Q","8
https://youtu.be/m28leA7CHEQ",1,75,160,2,"ÃÂÀÁ
https://youtu.be/HinJOKns1as","4,24,25",4,"2496118
https://youtu.be/n7iC_MBeGrY",380 9737,1276 719,18,17,28 31,"22
https://youtu.be/du0efVC9vbo",33,16,"190201 17291 11 1
190202 95101 2 1
190214 95107 2 1
190219 853 223 1
190222 95111 2 1
190223 17293 11 1
190227 63409 3 1
190229 14633 13 1",9000 190680,13608 40724928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,2,"1904
https://youtu.be/z08YJy4EaRw",3,1,"42
https://youtu.be/CrBIGtyMMMc","28
https://youtu.be/7QtLPBDo2wY","1
https://youtu.be/XvnxFAf2jQQ",1280,"80
https://youtu.be/vvvaevNNy9A","15
https://youtu.be/1bfDCMnuqj4",2,141,250,3,"ÃÀÂÁ
https://youtu.be/BMs2jB0KvQ8","2,6,7,8,18,19,20",2,"96631265
https://youtu.be/GZ3qWjMBh6s",1323 2478,1492 640,17,16,26 29,"17
https://youtu.be/wwy6EDLe098",14,11,"190226 838 454 2
190234 17294 22 2
190238 2606 146 2
190252 95126 4 2
190258 758 502 2
190274 27182 14 2
190276 95138 4 2",957 501,6804 19817794  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,3,"142
https://youtu.be/WO5K3R7Eaj8",2,2,"30
https://youtu.be/slUCacxmSCs","30
https://youtu.be/6wbsRJBAlUA","2
https://youtu.be/2czcuNBuCEU",1088,"240
https://youtu.be/5tGPw7O7srg","7
https://youtu.be/AshiZTqy7sA",4,110,256,3,"ÁÃÀÄÂ
https://youtu.be/8MSFQmTTwSc",194,4,"22947841
https://youtu.be/T3q9bGAdmJk",3232 8298,1619 945,16,27,25 28,"32
https://youtu.be/nzvZw-oCnEM",22,20,"190061 6131 31 1
11879 1697 7 1
190067 2677 71 1
23759 1033 23 1
190073 14621 13 1
95039 13577 7 1
190079 2837 67 1",519 909,13159 40799380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,3,"3971
https://youtu.be/DOOT7K7cLio",1,3,"12
https://youtu.be/i6VvTszguJg","24
https://youtu.be/UBzJ4rwY7gg","3
https://youtu.be/xgFWpAFDWZk",1056,"1215
https://youtu.be/SmDSLHTZiLs","5
https://youtu.be/aeryguL2juk",2,18,400,2,"DFAB
https://youtu.be/IhxCnWylAEc","5,13,21",2,"2468785
https://youtu.be/wWDLXglSZ_g",2568 7856,1535  975,15,25,23 26,"906
https://youtu.be/AeADcftDACc",25,44,1 11 121 1331 14641,856 953,8015 19596697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,2,"37433
https://youtu.be/5xJsvxBpBfs",3,3,"11
https://youtu.be/hVqx-v2BD-M","64
https://youtu.be/z6nwpRCL4sU","2
https://youtu.be/pmOKqUf4cRY",2576,"486
https://youtu.be/pdCbAoMkxZc","13
https://youtu.be/FvrPpVCgnZ0",3,109,150,3,"BHEA
https://youtu.be/nuCc2AnUfAQ","11,22",4,"3279892
https://youtu.be/HzdmJodFT34",363 2319207,32 23,12,11,9 19,"2217
https://youtu.be/s86fMcPT4Ro",60,19,1 13 169 2197 28561,27700 7896,13035 40382419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,1,"26904
https://youtu.be/Ydo586whe04",3,1,"28
https://youtu.be/GeGRM6SiJOM","256
https://youtu.be/FZv2lxseoz4","4
https://youtu.be/piNdnsXkWCc",3088,"256
https://youtu.be/r9vYastm-F0","7
https://youtu.be/kL_a4HkM6N0",3,1729,"540
https://youtu.be/AFax8Kkdw5k",4,"BCAH
https://youtu.be/_HVsFvofQJ4","9,27",4,"24 1114369
https://youtu.be/XCIKu_Ugf8s",8587 1486388,304 341 342 345,18,17,26 27,"2375
https://youtu.be/1NWcuGmC7Es",26,20,1 17 289 4913 83521 ,3845,6495 20191039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,4,"310
https://youtu.be/Gp5wGe3yhwI",4,1,"57
https://youtu.be/Ve4QCUo4ILs","72
https://youtu.be/iQfBbLzPqJM","2
https://youtu.be/-i61ITbdOqs",1288,"1458
https://youtu.be/QMdluUFeVm4","7
https://youtu.be/zawtenFXDPA",3,2,"300
https://youtu.be/7pI5qaZ8E6g",2,"CBFA
https://youtu.be/ERPtQK_-qS0",8,2,"30 1249317
https://youtu.be/_S1OiAHtoAU",471 3720,137 650,17,16,24 25,17867,129,7,1 19 361 6859 130321,340,11828 41262097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,1,"68
https://youtu.be/1JaCLn1CPj4",3,3,"17
https://youtu.be/_IH432Ot7C0","42
https://youtu.be/8XyMkhaDVik","3
https://youtu.be/ac1OriHPzZY",60,"640
https://youtu.be/3sUvZUv8zG0","17
https://youtu.be/4j7bSxZU-Sg",4,29,"500
https://youtu.be/fZSmFjLLyqg",3,"HEAD
https://youtu.be/CbkGciFVL-E",7,3,"40 6791973
https://youtu.be/9mxlleZCOj4",683 7407,1053 2053,18,17,28 30,26145,88,95,1 23 529 12167 279841,1054 732,6756 19751921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,4,"997
https://youtu.be/_5qtuMhSjOE",4,2,"28
https://youtu.be/BQhB3gY7W30","90
https://youtu.be/6ZxJHJ3tfm0","4
https://youtu.be/fUrBhOkkYKE",2048,"1215
https://youtu.be/qv4_mIEDm6U","9
https://youtu.be/huQyniIqyjA",1,92,"200
https://youtu.be/Y74Ea8RsUHQ",4,"29
https://youtu.be/M4JQ6WB-fT4","9,27",1,"46 3267851
https://youtu.be/04OP8XcR5a4",8555 910880,1222,17,16,25 27,"14
https://youtu.be/QtSPV-e8A6Y",48,31,"1 29 841 24389 707281
1 31 961 29791 923521",440962 91,25034 76468978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,4,"10
https://youtu.be/XcH0xnWP20Q",1,2,"22
https://youtu.be/iRVp5MfgTP4","32
https://youtu.be/A_9lxBwaBas","3
https://youtu.be/6ffXGTm3FFs",72,"324
https://youtu.be/isXSLnxHd48","7
https://youtu.be/SFEmLzcan0I",4,51,"100
https://youtu.be/dMo71PPv1k0",3,"3
https://youtu.be/GEzrQw85B7g","6,14",1,"199 3238315
https://youtu.be/Hj0wdXKJs5Q",1533 2190194,399,14,13,20 22,"16
https://youtu.be/Z1cRs8nvN88",26,150,1 31 961 29791 923521,72 17730,4913 15089332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,17,3,"7
https://youtu.be/yTU1rhhCpuY",2,4,"16
https://youtu.be/QaWjO9UTo_E","24
https://youtu.be/JTjI-wzWfBY","340
https://youtu.be/DQyh5PrfIws",400,"150
https://youtu.be/XcutK9Prc1w","15
https://youtu.be/ijK9p-FXt-U",4,RECOMMENDED,"240
https://youtu.be/2hTzFDonAL0",3,"11
https://youtu.be/u8h2E_nGIuM",7,4,"499 324
https://youtu.be/PC-VflR2kl4",550 3136,575,5,4 15,14,"5
https://youtu.be/aHw6lYwElwc",32,54,"1 37 1369 50653 1874161
1 41 1681 68921 2825761",499078 550,15148 29466419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,14,2,"7
https://youtu.be/zFOcNjc-0SQ",2,2,"10
https://youtu.be/r60GpKdij7w","20
https://youtu.be/WL4GD2FJsHE","2
https://youtu.be/cv8VqX2QGA0",2340,"29
https://youtu.be/zCHau80vymc","7
https://youtu.be/XrUYuVONHto",1,10,"150
https://youtu.be/9a5hlN9E46M",1,"28
https://youtu.be/J0XVTfhl348","11,27",2,"999 9
https://youtu.be/M36aNZpFO9w",376 7750,458,4,3 14,0,"26
https://youtu.be/3KOOhG-RcLQ",32,169,48 394450 197225,482303 576,5896 14078757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,1,"4
https://youtu.be/5OMUNcwO4Vg",1,3,"6
https://youtu.be/bLaY4gesyq8","512
https://youtu.be/aX1P5bGHe8g","3
https://youtu.be/Mh0B8vrw3bA",1800,"256
https://youtu.be/wTmJYpkOGE4","5
https://youtu.be/mDmqzfzU0yc",1,ÂÅÒÂËÅÍÈÅ,"3
https://youtu.be/TEuhAgydWMU",2,"61
https://youtu.be/Fj3l-famgRo",4,3,"6999 33
https://youtu.be/Sy2EtwG4rTk",2187 6558,617,11,16 21,1,"35
https://youtu.be/3Kp31Gxlo38",44,1280,112 287040 143520,464632 602,18380 58701760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,16,3,"170
https://youtu.be/id8joUCY4K0",3,1,"31
https://youtu.be/VYwK8tVmgFQ
","16
https://youtu.be/B8pLoMlKDqw","4
https://youtu.be/em4GiUBbpwc",15,"496
https://youtu.be/GBOXbt7amVM","13
https://youtu.be/Tp2mNrmDQ98",3,14,"2850
https://youtu.be/LyM5yu2P1Oc",2,"906
https://youtu.be/_6GGfjFdu14",6,1,"520 7
https://youtu.be/4T-fqEoXm-Y",1024 4094,456,11,17 20,2,"24
https://youtu.be/qzAWoP5Vj34",40,891,"80 586224 293112
80 586320 293160",6808 99,9750 30227250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,22,4,"1985
https://youtu.be/dLROgfIE_3I",1,2,"25
https://youtu.be/Pn2gt64e-SM","2
https://youtu.be/ZYDM2TrIV94","5
https://youtu.be/4rvxqCm-TIY",2,"256
https://youtu.be/rr86AvxGTto","7
https://youtu.be/XWvi-6sJ9oA",3,6,"1300
https://youtu.be/soYZMe1Bc6Q",3,"1488
https://youtu.be/8O6d6jlI4VQ",6,2,"16 32 16
https://youtu.be/lQ2VRfrUoDs",1455 4237,551,14,23 26,2,"4
https://youtu.be/8nomXVONlQ0",84,362,"1 48 394485 131495
2 48 394500 197250
3 48 394506 197253
4 48 394524 197262
",143518 4,"51 24019058
https://youtu.be/kn8GqbScH50?t=18305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,15,2,"1980
https://youtu.be/ta-pSDB6isQ",3,3,"12
https://youtu.be/jgKjvczGmP8","16
https://youtu.be/9iSMA7h3DTA","90
https://youtu.be/cYE8-9pQMXw",10,"61
https://youtu.be/er1KABzJUEs","502
https://youtu.be/NlOW9QjgEPU",3,13,"150
https://youtu.be/LVm5meS79y4",4,"1554
https://youtu.be/VZImZ3B5ktk",13,4,"30
https://youtu.be/vxFZFcpMhHc",1622 5137,495,10,15 19,1,"16
https://youtu.be/7Ks99QxxQO4",75,660," 1 194481 25 441 
2 195364 27 442 
3 196249 3 443 ",63792 600,110 519880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,16,4,"12
https://youtu.be/d3QTf3XFBnM",3,3,"45
https://youtu.be/j68B7VmTTtY","64
https://youtu.be/hj93EQG9LAE","40
https://youtu.be/iaWqYH8jzj8",48,"121
https://youtu.be/4TJENfwTlGU","32 8
https://youtu.be/wIbgFgjP0rM",1,61,"2500
https://youtu.be/Se4V2TgvfYI",4,"7235
https://youtu.be/g1fhuzUowaI",6,3,"22
https://youtu.be/sjs_UDOQzi4",1600 4210,469,13,20 24,0,"6
https://youtu.be/ytlPho84hA8",25,4904," 1 249001 3 499
2 251001 9 501 ",5931 800,37 1824804089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12,2,"7
https://youtu.be/qcvFeWuK0_I",2,2,"9
https://youtu.be/kOQZggajEOY","16
https://youtu.be/G0Uym-75J0A","4
https://youtu.be/huc6xNu9sKA",3076,"33
https://youtu.be/OVUnhQ0nibU","181792
https://youtu.be/Ri7eCOkbgWk",2,26,"6
https://youtu.be/36IKJXNXDy8",2,"674
https://youtu.be/YYEvFO69ZdI",7,1,"8
https://youtu.be/clhk9ZtVVbc",2919 9679,608,7,12 14,2,"141
https://youtu.be/Qme1xe47aGo",77,5563,405456 4 270302 135151 2 1,573 229,71 254363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
